id_ubicacion,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad
213,2,Baja California,3,Tecate,1075,San Antonio                                                                                                   
214,2,Baja California,3,Tecate,15,Los Hermanos                                                                                                  
215,2,Baja California,4,Tijuana,1642,El Gandul                                                                                                     
216,2,Baja California,4,Tijuana,1342,Familia Camarena                                                                                              
217,2,Baja California,4,Tijuana,1134,Familia González Aguirre                                                                                      
218,2,Baja California,4,Tijuana,298,El Florido                                                                                                    
219,2,Baja California,1,Ensenada,1297,Colonia Costa Azul                                                                                            
220,2,Baja California,4,Tijuana,1497,Santa Clara                                                                                                   
221,2,Baja California,4,Tijuana,1439,Rancho Gutiérrez                                                                                              
222,2,Baja California,1,Ensenada,4925,Balcones Cíbolas del Mar                                                                                      
223,2,Baja California,5,Playas de Rosarito,81,El Pescador [Centro Turístico]                                                                                
224,2,Baja California,3,Tecate,783,San José                                                                                                      
225,2,Baja California,2,Mexicali,186,Ejido Guanajuato                                                                                              
226,2,Baja California,5,Playas de Rosarito,10,Campo López                                                                                                   
227,2,Baja California,4,Tijuana,2136,Lomelí [Rancho]                                                                                               
228,2,Baja California,5,Playas de Rosarito,244,Ninguno                                                                                                       
229,2,Baja California,2,Mexicali,4729,Granjas Arcoíris                                                                                              
230,2,Baja California,6,San Quintín,819,Santa Candelaria                                                                                              
231,2,Baja California,2,Mexicali,2282,Familia Llamas (Ejido Campeche)                                                                               
232,2,Baja California,1,Ensenada,5534,Familia Arce                                                                                                  
233,2,Baja California,2,Mexicali,2818,Familia Verdugo (Ejido Tamaulipas Parcela Veintiocho)                                                         
234,2,Baja California,6,San Quintín,721,Rancho Jiménez                                                                                                
235,2,Baja California,2,Mexicali,2449,Familia Mosqueda (Veracruz Dos)                                                                               
236,2,Baja California,2,Mexicali,2204,Familia Hernández (Ejido Durango)                                                                             
237,2,Baja California,2,Mexicali,3124,El Solitario (Ejido Chihuahua)                                                                                
238,2,Baja California,2,Mexicali,5528,Ramos                                                                                                         
239,2,Baja California,1,Ensenada,3831,Bodegas del Valle                                                                                             
240,2,Baja California,1,Ensenada,617,El Porvenir (Guadalupe)                                                                                       
241,2,Baja California,2,Mexicali,259,Colonia Pólvora                                                                                               
242,2,Baja California,2,Mexicali,1594,Bachoco (Colonia Cerro Prieto) [Avícola]                                                                      
243,2,Baja California,2,Mexicali,161,Ejido Monterrey (Colonia Batáquez)                                                                            
244,2,Baja California,6,San Quintín,3,ABC (Los Canelos) [Empaque]                                                                                   
245,2,Baja California,2,Mexicali,2237,Familia Jiménez (Veracruz Dos)                                                                                
246,2,Baja California,3,Tecate,1191,San Isidro (Los Tres Juanes)                                                                                  
247,2,Baja California,2,Mexicali,4962,Ninguno [Familia Pérez]                                                                                       
248,2,Baja California,2,Mexicali,169,Ejido Durango                                                                                                 
249,2,Baja California,2,Mexicali,2277,Familia Lizalde (Ejido Benito Juárez)                                                                         
250,2,Baja California,2,Mexicali,1832,Familia Calvillo (Colonia Osiris Parcela 5)                                                                   
251,2,Baja California,2,Mexicali,127,Ejido Tabasco                                                                                                 
252,2,Baja California,6,San Quintín,122,Ejido Profesor Graciano Sánchez                                                                               
253,2,Baja California,2,Mexicali,203,Ejido Jalisco                                                                                                 
254,2,Baja California,1,Ensenada,386,Rancho Campa                                                                                                  
255,2,Baja California,2,Mexicali,2616,Zona del Canal (Veracruz Dos)                                                                                 
256,2,Baja California,2,Mexicali,251,Ejido Pátzcuaro                                                                                               
257,2,Baja California,1,Ensenada,3368,Artículo Ciento Quince                                                                                        
258,2,Baja California,6,San Quintín,498,La Trinidad                                                                                                   
259,2,Baja California,5,Playas de Rosarito,36,El Descanso                                                                                                   
260,2,Baja California,1,Ensenada,2160,Úrsulo Galván                                                                                                 
261,2,Baja California,2,Mexicali,5006,Cipsa                                                                                                         
262,2,Baja California,2,Mexicali,1273,Ejido Tehuantepec (Santa Rosa)                                                                                
263,2,Baja California,1,Ensenada,2071,Treinta y Tres [Rancho]                                                                                       
264,2,Baja California,2,Mexicali,2123,Familia Gómez (Colonia Cerro Prieto)                                                                          
265,2,Baja California,2,Mexicali,2855,Familia Rodelo Salgado (Colonia Cerro Prieto)                                                                 
266,2,Baja California,2,Mexicali,5105,Valle del Sol [Rancho]                                                                                        
267,2,Baja California,2,Mexicali,5075,Familia Fernández                                                                                             
268,2,Baja California,1,Ensenada,1444,La Jolla [Campo Turístico]                                                                                    
269,2,Baja California,2,Mexicali,4877,Don Manuel                                                                                                    
270,2,Baja California,2,Mexicali,2128,Familia González (Colonia Sonora)                                                                             
271,2,Baja California,1,Ensenada,5167,Rancho Virginia del Mar                                                                                       
272,2,Baja California,5,Playas de Rosarito,34,Cuenca Lechera                                                                                                
273,2,Baja California,1,Ensenada,2482,Familia Alaniz                                                                                                
274,2,Baja California,5,Playas de Rosarito,382,Los Cañaverales                                                                                               
275,2,Baja California,5,Playas de Rosarito,312,Ninguno                                                                                                       
276,2,Baja California,5,Playas de Rosarito,322,Mar de Popotla                                                                                                
277,2,Baja California,1,Ensenada,5037,Colinas del Pedregal                                                                                          
278,2,Baja California,5,Playas de Rosarito,28,Misión del Mar 1ra. y 2da. Sección                                                                            
279,2,Baja California,5,Playas de Rosarito,160,Rancho Santini                                                                                                
280,2,Baja California,5,Playas de Rosarito,78,El Morro Kilómetro Treinta y Ocho                                                                             
281,2,Baja California,5,Playas de Rosarito,202,Marbella                                                                                                      
282,2,Baja California,6,San Quintín,583,Luis Rodríguez (El Vergel)                                                                                    
283,2,Baja California,5,Playas de Rosarito,266,Lomas de Puerto Nuevo                                                                                         
284,2,Baja California,5,Playas de Rosarito,137,Las Delicias                                                                                                  
285,2,Baja California,4,Tijuana,669,Calete                                                                                                        
286,2,Baja California,1,Ensenada,2142,Buena Vista                                                                                                   
287,2,Baja California,1,Ensenada,3170,Campo Número Siete                                                                                            
288,2,Baja California,7,San Felipe                                                                  ,220,Puertecitos                                                                                                   
289,2,Baja California,1,Ensenada,677,El Ramajal                                                                                                    
290,2,Baja California,5,Playas de Rosarito,300,Los Arroyos                                                                                                   
291,2,Baja California,1,Ensenada,4523,II Sección Ejido Esteban Cantú                                                                                
292,2,Baja California,6,San Quintín,114,Ejido José María Morelos                                                                                      
293,2,Baja California,6,San Quintín,839,Santo Domingo                                                                                                 
294,2,Baja California,5,Playas de Rosarito,84,Playas la Misión                                                                                              
295,2,Baja California,5,Playas de Rosarito,355,Hacienda del Sol                                                                                              
296,2,Baja California,6,San Quintín,858,Valle Dorado                                                                                                  
297,2,Baja California,4,Tijuana,1619,Los González                                                                                                  
298,2,Baja California,2,Mexicali,1481,Familia Manzo (Colonia Colorado Número Siete)                                                                 
299,2,Baja California,4,Tijuana,219,El Refugio                                                                                                    
